Oregon,Ducks,Eugene,Oregon,Pac-12,"PCC, Independent",1894,
Oregon State,Beavers,Corvallis,Oregon,Pac-12,"PCC, Independent",1893,
Penn State,Nittany Lions,University Park,Pennsylvania,Big Ten,,1881,
Pittsburgh,Panthers,Pittsburgh,Pennsylvania,ACC,Big East,1890,
Purdue,Boilermakers,West Lafayette,Indiana,Big Ten,IIAA,1887,
Rice,Owls,Houston,Texas,C-USA,"TIAA, SWC, WAC",1912,
Rutgers,Scarlet Knights,Piscataway,New Jersey,Big Ten,"Middle Atlantic, Big East, American",1869,
San Diego State,Aztecs,San Diego,California,Mountain West,"Southern California Junior College Conference, SCIAC, CCAA, Big West, WAC",1921,1969
San Jose State,Spartans,San Jose,California,Mountain West,"California Coast Conference, NCAC, California Collegiate, Big West, WAC",1892,
SMU,Mustangs,University Park,Texas,American,"TIAA, SWC, WAC, C-USA[n 3]",1915,
South Alabama,Jaguars,Mobile,Alabama,Sun Belt,,2009,2012
South Carolina,Gamecocks,Columbia,South Carolina,SEC,"SIAA, SoCon, ACC",1892,
South Florida,Bulls,Tampa,Florida,American,"C-USA, Big East",1997,2001
Southern Miss,Golden Eagles,Hattiesburg,Mississippi,C-USA,"Gulf States Conference, SIAA",1912,
Stanford,Cardinal,Stanford,California,Pac-12,PCC,1891,
Syracuse,Orange,Syracuse,New York,ACC,Big East,1889,
TCU,Horned Frogs,Fort Worth,Texas,Big 12,"TIAA, SWC, WAC, C-USA, MW",1896,
Temple,Owls,Philadelphia,Pennsylvania,American,"Middle Atlantic, Big East, MAC, Big East",1894,
Tennessee,Volunteers,Knoxville,Tennessee,SEC,"SIAA, SoCon",1891,
Texas,Longhorns,Austin,Texas,Big 12,"SIAA, TIAA, SWC",1893,
Texas A&M,Aggies,College Station,Texas,SEC,"SIAA, SWC, Big 12",1894,
Texas State,Bobcats,San Marcos,Texas,Sun Belt,"TIAA, Lone Star, Gulf Star, Southland, WAC",1904,2012
Texas Tech,Red Raiders,Lubbock,Texas,Big 12,"BIAA, SWC",1925,
Toledo,Rockets,Toledo,Ohio,MAC,"Northwestern Ohio Intercollegiate Athletic Association, OAC",1917,
Troy,Trojans,Troy,Alabama,Sun Belt,"Alabama Intercollegiate Conference, SIAA, Alabama Collegiate Conference, Mid-South Athletic Conference, Gulf South, Southland",1909,2002
Tulane,Green Wave,New Orleans,Louisiana,American,"SIAA, SoCon, SEC, C-USA",1893,
Tulsa,Golden Hurricane,Tulsa,Oklahoma,American,"Oklahoma Intercollegiate Conference, Big 4 Conference, MVC, WAC, C-USA",1895,
UAB,Blazers,Birmingham,Alabama,C-USA,,1991,1999
UCF,Knights,Orlando,Florida,American,"MAC, C-USA",1979,1996
UCLA,Bruins,Los Angeles,California,Pac-12,"SCIAC, PCC",1919,
UConn,Huskies,Storrs[n 5],Connecticut,American,"Yankee, A-10, Big East",1896,2000
UMass,Minutemen,Amherst,Massachusetts,Independent,"Yankee, A-10, CAA, MAC",1879,2012
UNLV,Rebels,Las Vegas[n 6],Nevada,Mountain West,"Big West, WAC",1968,1978
USC,Trojans,Los Angeles,California,Pac-12,PCC,1888,
Utah,Utes,Salt Lake City,Utah,Pac-12,"Colorado Football Association, RMAC, Mountain States, WAC, MW",1892,
Utah State,Aggies,Logan,Utah,Mountain West,"Colorado Football Association, RMAC, Mountain States, Big West, Independent, Sun Belt, WAC",1892,
UTEP,Miners,El Paso,Texas,C-USA,"BIAA, WAC",1914,
UTSA,Roadrunners,San Antonio,Texas,C-USA,WAC,2011,2012
Vanderbilt,Commodores,Nashville,Tennessee,SEC,"SIAA, SoCon",1890,
Virginia,Cavaliers,Charlottesville,Virginia,ACC,"SAIAA, SoCon",1888,
Virginia Tech,Hokies,Blacksburg,Virginia,ACC,"SAIAA, SIAA, SoCon, Big East",1892,
Wake Forest,Demon Deacons,Winston-Salem,North Carolina,ACC,"Big Five Conference, SoCon",1888,
Washington,Huskies,Seattle,Washington,Pac-12,PCC,1889,
Washington State,Cougars,Pullman,Washington,Pac-12,"PCC, Independent",1893,
West Virginia,Mountaineers,Morgantown,West Virginia,Big 12,"SoCon, WVIAC, Big East",1891,
Western Kentucky,Hilltoppers,Bowling Green,Kentucky,C-USA,"SIAA, KIAC, OVC, MVFC, Sun Belt",1913,2009
Western Michigan,Broncos,Kalamazoo,Michigan,MAC,MCC,1905,
Wisconsin,Badgers,Madison,Wisconsin,Big Ten,,1889,
Wyoming,Cowboys,Laramie,Wyoming,Mountain West,"Colorado Football Association, RMAC, WAC",1893,
